IMPERIAL COLLEGE SUPERSONIC WIND TUNNEL -  CONTROLLER RESULTS FILE 
Run time: 09:28:01 21-11-2022
Barometric pressure: 0.9994 BarA
Nozzle: Mach 2.0
Camera delay (ms): 0.0000
Time[s],PV[BarA],SP[BarA],IO[mA]
5.01100,1.00618,1.06816,7.65563
5.02200,1.00618,1.06816,7.66046
5.03200,1.00588,1.06816,7.67260
5.04500,1.00496,1.06816,7.67324
5.05500,1.00527,1.06816,7.67878
5.06500,1.00588,1.06816,7.68513
5.07500,1.00588,1.06816,7.69806
5.08700,1.00588,1.06816,7.69865
5.09800,1.00527,1.06816,7.70393
5.10900,1.00557,1.06816,7.71241
5.12600,1.00679,1.06816,7.72067
5.13600,1.00588,1.06816,7.72605
5.14700,1.00405,1.06816,7.73349
5.15800,1.00588,1.06816,7.74529
5.16800,1.00739,1.06816,7.74525
5.17800,1.00588,1.06816,7.75113
5.18800,1.00496,1.06816,7.75682
5.19800,1.00588,1.06816,7.77230
5.21800,1.00800,1.06816,7.77290
5.22800,1.00618,1.06816,7.77809
5.23800,1.00679,1.06816,7.79053
5.25400,1.00527,1.06816,7.79145
5.26500,1.00588,1.06816,7.79915
5.27500,1.00496,1.06816,7.80851
5.28500,1.00557,1.06816,7.82350
5.29900,1.00770,1.06816,7.82418
5.30900,1.00800,1.06816,7.82549
5.31900,1.00496,1.06816,7.83031
5.32900,1.00405,1.06816,7.84351
5.34100,1.00466,1.06816,7.84932
5.35100,1.00770,1.06816,7.85634
5.36200,1.00770,1.06816,7.86205
5.37200,1.00588,1.06816,7.86997
5.38300,1.00527,1.06816,7.86910
5.39300,1.00679,1.06816,7.87386
5.40400,1.00770,1.06816,7.88099
5.41400,1.00679,1.06816,7.89254
5.42600,1.00557,1.06816,7.89360
5.43700,1.00800,1.06816,7.89748
5.44700,1.00800,1.06816,7.90193
5.45700,1.00861,1.06816,7.91181
5.46800,1.00800,1.06816,7.90972
5.47900,1.00739,1.06816,7.91359
5.48900,1.00861,1.06816,7.91915
5.49900,1.00830,1.06816,7.94537
5.53900,1.00861,1.06816,7.95550
5.55500,1.00618,1.06816,7.95834
5.56500,1.00770,1.06816,7.96481
5.57500,1.00679,1.06816,7.97357
5.58500,1.00618,1.06816,7.98803
5.59600,1.00891,1.06816,7.98892
5.60600,1.00770,1.06816,7.99182
5.61600,1.00527,1.06816,8.00010
5.62600,1.00557,1.06816,8.01843
5.64600,1.00679,1.06816,8.02124
5.65600,1.00982,1.06816,8.02620
5.66600,1.00861,1.06816,8.03808
5.68400,1.00527,1.06816,8.03716
5.69400,1.00830,1.06816,8.04058
5.70400,1.00982,1.06816,8.04430
5.71400,1.00709,1.06816,8.05782
5.72500,1.00496,1.06816,8.06152
5.73500,1.00800,1.06816,8.06678
5.74500,1.00861,1.06816,8.07297
5.75500,1.00709,1.06816,8.08524
5.76500,1.00496,1.06816,8.08779
5.77500,1.00770,1.06816,8.09227
5.78600,1.01012,1.06816,8.09715
5.79600,1.00618,1.06816,8.10811
5.80600,1.00466,1.06816,8.11152
5.81600,1.00557,1.06816,8.11828
5.82700,1.00982,1.06816,8.12618
5.83700,1.00952,1.06816,8.13615
5.85000,1.00830,1.06816,8.13238
5.86100,1.00496,1.06816,8.13606
5.87100,1.00709,1.06816,8.14348
5.88100,1.01134,1.06816,8.15634
5.89500,1.01225,1.06816,8.15317
5.90600,1.00436,1.06816,8.15808
5.91600,1.00466,1.06816,8.16761
5.93600,1.00800,1.06816,8.18225
5.94600,1.00952,1.06816,8.19217
5.95600,1.00436,1.06816,8.20218
5.96600,1.00496,1.06816,8.21353
5.97700,1.00982,1.06816,8.21208
5.98700,1.01043,1.06816,8.21402
5.99800,1.00588,1.06816,8.22067
6.00800,1.00618,1.06816,8.23152
6.02400,1.00709,1.06816,8.23358
6.03500,1.00830,1.06816,8.24317
6.04600,1.00618,1.06816,8.26063
6.06200,1.00709,1.06816,8.26109
6.07200,1.00952,1.06816,8.26353
6.08300,1.00861,1.06816,8.26752
6.09300,1.00861,1.06816,8.27593
6.10300,1.00921,1.06816,8.27353
6.11300,1.00830,1.06816,8.27760
6.12300,1.00830,1.06816,8.28417
6.13300,1.00739,1.06816,8.29768
6.14500,1.00861,1.06816,8.30003
6.15500,1.01134,1.06816,8.30281
6.16500,1.00921,1.06816,8.30610
6.17500,1.00709,1.06816,8.32085
6.19300,1.00952,1.06816,8.32083
6.20300,1.01194,1.06816,8.32427
6.21300,1.01346,1.06816,8.32636
6.23000,1.00921,1.06816,8.33154
6.24100,1.00800,1.06816,8.33626
6.25100,1.01346,1.06816,8.33983
6.26100,1.01437,1.06816,8.35049
6.27700,1.01286,1.06816,8.34920
6.28800,1.00952,1.06816,8.35160
6.29800,1.01194,1.06816,8.36248
6.31300,1.01286,1.06816,8.36642
6.32400,1.01043,1.06816,8.37532
6.33400,1.01073,1.06816,8.38289
6.34400,1.01073,1.06816,8.40543
6.37800,1.01225,1.06816,8.40868
6.38800,1.01012,1.06816,8.42074
6.40100,1.00739,1.06816,8.42535
6.41100,1.01225,1.06816,8.43102
6.42100,1.00982,1.06816,8.43760
6.43100,1.00952,1.06816,8.45165
6.44300,1.01134,1.06816,8.45075
6.45400,1.00982,1.06816,8.45438
6.46500,1.00405,1.06816,8.46900
6.47500,1.00679,1.06816,8.48947
6.49000,1.01194,1.06816,8.49125
6.50000,1.01316,1.06816,8.49304
6.51000,1.00952,1.06816,8.49402
6.52700,1.00800,1.06816,8.49759
6.53800,1.01468,1.06816,8.49705
6.54900,1.01377,1.06816,8.50021
6.55900,1.00891,1.06816,8.51307
6.57100,1.00891,1.06816,8.51423
6.58100,1.01407,1.06816,8.51675
6.59100,1.01528,1.06816,8.52188
6.60100,1.01286,1.06816,8.52873
6.61300,1.01012,1.06816,8.52644
6.62400,1.00952,1.06816,8.53381
6.63400,1.01316,1.06816,8.54400
6.64400,1.01316,1.06816,8.55742
6.65600,1.01103,1.06816,8.55884
6.66700,1.01103,1.06816,8.56178
6.67700,1.01225,1.06816,8.56580
6.68700,1.01134,1.06816,8.58234
6.70400,1.00982,1.06816,8.58776
6.71500,1.01103,1.06816,8.59296
6.72500,1.01437,1.06816,8.60289
6.73900,1.01286,1.06816,8.60131
6.75000,1.00891,1.06816,8.60715
6.76100,1.00709,1.06816,8.61796
6.77100,1.01012,1.06816,8.63428
6.78300,1.01346,1.06816,8.63874
6.79400,1.01468,1.06816,8.63987
6.80500,1.01346,1.06816,8.63660
6.82100,1.01316,1.06816,8.63659
6.83100,1.00982,1.06816,8.64136
6.84100,1.00891,1.06816,8.65463
6.85100,1.01043,1.06816,8.67899
6.87400,1.01164,1.06816,8.68436
6.88400,1.01255,1.06816,8.68928
6.89400,1.01468,1.06816,8.69386
6.90900,1.01498,1.06816,8.68634
6.92000,1.01043,1.06816,8.68937
6.93000,1.01164,1.06816,8.69604
6.94000,1.01346,1.06816,8.70889
6.95300,1.01589,1.06816,8.70965
6.96300,1.01316,1.06816,8.71267
6.97300,1.01407,1.06816,8.71306
6.98300,1.01255,1.06816,8.72170
6.99400,1.01407,1.06816,8.72480
7.00500,1.01468,1.06816,8.73126
7.01500,1.01286,1.06816,8.73636
7.02600,1.01255,1.06816,8.75553
7.05200,1.01255,1.06816,8.75869
7.06200,1.01377,1.06816,8.76726
7.08200,1.01407,1.06816,8.77575
7.09200,1.01346,1.06816,8.77884
7.10300,1.01164,1.06816,8.78497
7.11300,1.01255,1.06816,8.79746
7.12500,1.01286,1.06816,8.80052
7.13600,1.01407,1.06816,8.80674
7.14600,1.01407,1.06816,8.80928
7.15600,1.01437,1.06816,8.81646
7.16700,1.01437,1.06816,8.81409
7.17700,1.01346,1.06816,8.81792
7.18800,1.01255,1.06816,8.82614
7.19900,1.01437,1.06816,8.83853
7.21200,1.01407,1.06816,8.83992
7.22200,1.01589,1.06816,8.84259
7.23200,1.01437,1.06816,8.84671
7.25100,1.01407,1.06816,8.85332
7.26100,1.01103,1.06816,8.86148
7.27100,1.01498,1.06816,8.86894
7.28100,1.01528,1.06816,8.88022
7.29300,1.01832,1.06816,8.87624
7.30300,1.01468,1.06816,8.87542
7.31300,1.01194,1.06816,8.87966
7.32300,1.01164,1.06816,8.89667
7.33600,1.01407,1.06816,8.90344
7.34700,1.01650,1.06816,8.91098
7.35700,1.01498,1.06816,8.91336
7.36700,1.01498,1.06816,8.91776
